receiverID,interested goods ID,cate
h3rzLZUoswdv3MiiCLb9offrXk62,EWw1h8mZxfeupZxDJzvl,3.0
h3rzLZUoswdv3MiiCLb9offrXk62,FQYSjjpXTBUkCHQWVpYo,0.0
h3rzLZUoswdv3MiiCLb9offrXk62,IC1AdFS0vRYhlrMV754B,1.0
9Fj41166KHdECzTmhuaAwb2KJBC3,SoyaPK4MAIxEzJDHCLCO,5.0
b2OS9gV4C2emN9Ro6tYrmvJEjik2,TROIOf5I0Ujt5NPSpati,1.0
b2OS9gV4C2emN9Ro6tYrmvJEjik2,W7AOfpGBncSkWH7qBL6e,1.0
mXHnPoCEoLhnOAsuBlyF5AwJDFG3,cq4cyxtxU2JvthNE4YFZ,7.0
wRKhF89xC1cvlpxiUKteatAclqu2,w4H2rm5MUun3MMb99rKU,2.0
mXHnPoCEoLhnOAsuBlyF5AwJDFG3,wmJbJrWg0WrxboyHaE74,6.0
wRKhF89xC1cvlpxiUKteatAclqu2,yFjCwf4tDjmQ4tgmu2eb,2.0
wRKhF89xC1cvlpxiUKteatAclqu2,0JYPOitaBEWtEB8ImjZd,0.0
9Fj41166KHdECzTmhuaAwb2KJBC3,5kUOcCiXW5U4U2n0tC76,7.0
wRKhF89xC1cvlpxiUKteatAclqu2,6bGTs9ACGYrUnxULHliT,1.0
9Fj41166KHdECzTmhuaAwb2KJBC3,OXBmvXPpsZRMMYoAvSwz,2.0
b2OS9gV4C2emN9Ro6tYrmvJEjik2,V6dPGQ5EwqINPQjmHkuz,7.0
b2OS9gV4C2emN9Ro6tYrmvJEjik2,VQ6G9f4fg9IsnAJd1wUN,5.0
9Fj41166KHdECzTmhuaAwb2KJBC3,cbOp3NGGllf0MvmHSc9E,1.0
9Fj41166KHdECzTmhuaAwb2KJBC3,s5GDoD30JURuTC4Kt0AF,2.0
b2OS9gV4C2emN9Ro6tYrmvJEjik2,xiFDkRXBepgMLZuANH1L,2.0
wRKhF89xC1cvlpxiUKteatAclqu2,yEurtPvSGrHew74MPCZY,1.0
wRKhF89xC1cvlpxiUKteatAclqu2,97r0PBPAFEgzkt5TEyMa,2.0
h3rzLZUoswdv3MiiCLb9offrXk62,BDhX5QOkSRy4Viujw1mY,1.0
h3rzLZUoswdv3MiiCLb9offrXk62,O9lWOFcIKrE9qUAol5au,3.0
b2OS9gV4C2emN9Ro6tYrmvJEjik2,Qc3mlShwMXHlld9zKCOM,5.0
b2OS9gV4C2emN9Ro6tYrmvJEjik2,XsUw4KAWCJ1SGK4SIUBf,2.0
h3rzLZUoswdv3MiiCLb9offrXk62,j1rr4Ya7Bw9W9cbjFnO2,2.0
